1	gimenete	iOS-boilerplate	0	iOS-app template with lots of common tasks solved	https://github.com/gimenete/iOS-boilerplate	http://iosboilerplate.com/	2418	374
2	erica	iOS-5-Cookbook	0		https://github.com/erica/iOS-5-Cookbook		870	252
3	honcheng	PaperFold-for-iOS	0	Paper folding animation for iOS	https://github.com/honcheng/PaperFold-for-iOS		1677	226
4	Dillion	iOS-Flip-Transform	0	Core Animation framework for navigating data by flipping	https://github.com/Dillion/iOS-Flip-Transform		680	105
5	couchbaselabs	TouchDB-iOS	0	CouchDB-compatible mobile database; Objective-C version	https://github.com/couchbaselabs/TouchDB-iOS		648	91
6	nst	iOS-Runtime-Headers	0	iOS Objective-C headers as derived from runtime introspection	https://github.com/nst/iOS-Runtime-Headers	https://github.com/nst/RuntimeBrowser	647	90
7	jverkoey	iOS-Framework	0	How to create, develop, and distribute iOS Static Frameworks quickly and efficiently	https://github.com/jverkoey/iOS-Framework	http://JeffVerkoeyen.com/	648	63
8	schwa	iOS-PDF-Reader	0	An open source (BSD) iPhone & iPad PDF Reader	https://github.com/schwa/iOS-PDF-Reader		370	75
9	andreyvit	SoloComponents-iOS	0	Self-contained, two-file (.h/.m) iPhone/iPad components that are dead-easy to drop into your projects	https://github.com/andreyvit/SoloComponents-iOS		506	54
10	glock45	iOS-Hierarchy-Viewer	0	iOS Hierarchy Viewer allows developers to debug their user interfaces. If there are problems with layout calculations, it will catch them by giving a real time preview of the UIViews hierarchy. iOS Hierarchy Viewer (since 1.4.6 version) gives preview of your data if you use Core Data API in your project. See 'Instruction' section to start with it.	https://github.com/glock45/iOS-Hierarchy-Viewer		668	43
11	bennyguitar	Colours-for-iOS	0	A collection of predefined UIColors you can use in your apps. Just include the Colours.h/.m files and you'll have a slew of new colors to use.	https://github.com/bennyguitar/Colours-for-iOS		491	46
12	erica	iOS-6-Cookbook	0	iOS 6 update	https://github.com/erica/iOS-6-Cookbook		204	84
13	gekitz	UIDevice-with-UniqueIdentifier-for-iOS-5	0	Brings back the unique identifier support under iOS 5, it uses the device's mac address in combination with the bundle identifier to generate a new hashed unique identifier.	https://github.com/gekitz/UIDevice-with-UniqueIdentifier-for-iOS-5		1158	181
14	macmade	OpenCV-iOS	0	This project is a port of the OpenCV library for Apple iOS. It includes two XCode projects: one for iPhone, the other one for iPad.	https://github.com/macmade/OpenCV-iOS	http://www.eosgarden.com/en/opensource/opencv-ios/	264	54
15	mtigas	iOS-OnionBrowser	0	An open-source, privacy-enhancing web browser for iOS, utilizing the Tor anonymity network	https://github.com/mtigas/iOS-OnionBrowser	http://onionbrowser.com/	289	48
